CommonName,CID,SMILES,MolecularFormula,MolecularWeight,Category,Source
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C8H10N4O2,194.19,stimulant,PubChem CC0
nicotine,89594,CN1CCC[C@H]1C2=CN=CC=C2,C10H14N2,162.23,stimulant,PubChem CC0
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,C7H8N4O2,180.16,stimulant,PubChem CC0
aspirin,2244,CC(=O)OC1=CC=CC=C1C(=O)O,C9H8O4,180.16,analgesic,PubChem CC0
acetaminophen,1983,CC(=O)NC1=CC=C(C=C1)O,C8H9NO2,151.16,analgesic,PubChem CC0
ibuprofen,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C13H18O2,206.28,analgesic,PubChem CC0
salicylic acid,338,C1=CC=C(C(=C1)C(=O)O)O,C7H6O3,138.12,analgesic,PubChem CC0
ethanol,702,CCO,C2H6O,46.07,solvent,PubChem CC0
methanol,887,CO,CH4O,32.042,solvent,PubChem CC0
isopropanol,3776,CC(C)O,C3H8O,60.1,solvent,PubChem CC0
acetone,180,CC(=O)C,C3H6O,58.08,solvent,PubChem CC0
glycerol,753,C(C(CO)O)O,C3H8O3,92.09,solvent,PubChem CC0
sucrose,5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,C12H22O11,342.3,sugar,PubChem CC0
glucose,5793,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,C6H12O6,180.16,sugar,PubChem CC0
fructose,2723872,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,C6H12O6,180.16,sugar,PubChem CC0
acetic acid,176,CC(=O)O,C2H4O2,60.05,food_acid,PubChem CC0
citric acid,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C6H8O7,192.12,food_acid,PubChem CC0
lactic acid,612,CC(C(=O)O)O,C3H6O3,90.08,food_acid,PubChem CC0
benzoic acid,243,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,food_acid,PubChem CC0
formic acid,284,C(=O)O,CH2O2,46.025,food_acid,PubChem CC0
vanillin,1183,COC1=C(C=CC(=C1)C=O)O,C8H8O3,152.15,flavor,PubChem CC0
capsaicin,1548943,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,C18H27NO3,305.4,flavor,PubChem CC0
menthol,1254,CC1CCC(C(C1)O)C(C)C,C10H20O,156.26,flavor,PubChem CC0
limonene,22311,CC1=CCC(CC1)C(=C)C,C10H16,136.23,flavor,PubChem CC0
eugenol,3314,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,flavor,PubChem CC0
benzaldehyde,240,C1=CC=C(C=C1)C=O,C7H6O,106.12,flavor,PubChem CC0
linalool,6549,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,flavor,PubChem CC0
ascorbic acid,54670067,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,vitamin,PubChem CC0
urea,1176,C(=O)(N)N,CH4N2O,60.056,other,PubChem CC0
carvone,7439,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,flavor,PubChem CC0
