ChEMBLID,Name,SMILES,MolecularWeight,ALogP,HBondDonors,HBondAcceptors,TPSA,RotatableBonds,MaxPhase_1,MaxPhase_2,MaxPhase_3,Source
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.41,1.78,1,8,106.95,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,162.24,1.85,0,2,16.13,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,1.54,1,6,75.01,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.24,1.42,1,4,72.19,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,3.93,1,4,68.53,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.24,-0.79,1,4,91.75,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.3,-1.52,1,7,122.46,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,1.58,2,5,74.57,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,1.27,2,5,74.57,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,135.21,1.58,1,1,26.02,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.14,-1.06,0,8,123.2,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,3.88,0,2,6.48,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,2.08,2,4,92.5,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.29,1.77,0,5,64.43,2,52,46,48,ChEMBL CC-BY-SA 3.0
